catalog,bare_valve_code,series,size,end_connection,num_empty,all_empty,empty_positions
ball,2090FP0023,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0024,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0025,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0026,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0027,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0028,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0029,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0030,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0031,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0032,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0033,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0034,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0035,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
ball,2090FP0036,2090F2005,"8""","Flanged, RF ASME B16.5 Class 150",11,True,Double Acting @ 3.5 bar (error); Double Acting @ 4 bar (error); Double Acting @ 5.5 bar (error); Spring Return Fail-Close @ 3.5 bar (error); Spring Return Fail-Close @ 4 bar (error); Spring Return Fail-Close @ 5.5 bar (error); Spring Return Fail-Open @ 3.5 bar (error); Spring Return Fail-Open @ 4 bar (error); Spring Return Fail-Open @ 5.5 bar (error); Electrical (1) (error); Electrical (2) (error)
